"","Location","Peak_period","Gender","Hour","Month","Speed","inv speed","Density","Flow","log Flow","LOS","new_flow"
"7862",3,2,2,1,3,69.3859435818525,0.000207709807240231,4.30495465511615,49.3998655724675,1.69372576711767,"E",38.3991361658366
"7863",2,1,1,1,1,79.9770898298728,0.000156339531309802,2.87485944468385,49.4010304739849,1.69373600812401,"E",35.7449769387771
"7864",1,2,2,3,1,69.3854427664516,0.000207712805697592,3.89678922839595,49.403590514617,1.69375851337749,"E",36.8286650125903
"7865",2,1,2,1,3,69.3854427664516,0.000207712805697592,3.89678922839595,49.403590514617,1.69375851337749,"E",36.8286650125903
"7866",3,1,2,3,2,69.3854427664516,0.000207712805697592,3.89678922839595,49.403590514617,1.69375851337749,"E",36.8286650125903
"7867",2,1,1,1,3,97.7008989588518,0.000104761782808169,1.07094689739177,49.4114413055359,1.69382752221388,"E",35.7216056428101
"7868",1,2,1,2,2,92.8997424561,0.000115869992800275,1.94968777898635,49.4296497536578,1.69398753316778,"E",35.3994571189551
"7869",3,1,1,2,1,92.8997424561,0.000115869992800275,1.94968777898635,49.4296497536578,1.69398753316778,"E",35.3994571189551
"7870",1,2,1,3,2,98.0357273528729,0.00010404740408979,1.0547292757513,49.4435831698265,1.69410993648397,"E",35.7220417056389
"7871",3,1,1,1,3,98.0357273528729,0.00010404740408979,1.0547292757513,49.4435831698265,1.69410993648397,"E",35.7220417056389
"7872",1,1,1,1,2,108.283816063293,8.52850473776756e-05,0.30428987261773,49.4490324634056,1.69415779846273,"E",36.0688496290364
"7873",2,1,1,1,1,70.7615531760542,0.000199712517510246,4.48650682779437,49.4497735722703,1.69416430732776,"E",39.4554914865245
"7874",4,1,1,1,1,75.9330113453158,0.000173435802082892,3.10487966437666,49.4548116007677,1.69420855174726,"E",35.7054489836255
"7875",1,1,1,3,1,87.8773269874871,0.000129493009254979,1.88262817722812,49.4550992425409,1.69421107770717,"E",35.3666103133546
"7876",2,1,2,2,2,74.5750631120292,0.000179809544495293,3.28928135250989,49.4637916817505,1.69428740445037,"E",35.9320473261784
