"","Location","Peak_period","Gender","Hour","Month","Speed","inv speed","Density","Flow","log Flow","LOS","flow_1","flow_2","new_flow"
"2731",4,1,2,1,1,61.1922331879623,0.000267059108065402,4.26508088701997,27.3167452663269,1.43642895280307,"C",55.5673004204031,42.1914297533585,48.8793650868808
"2732",4,2,2,1,3,77.1410922181727,0.000168046098028025,3.25633973231692,27.3197450758027,1.43647664256847,"C",57.7469790854963,50.7718087461502,54.2593939158232
"2733",4,1,1,2,3,76.0427123373583,0.000172935757956991,3.67991969924105,27.3198852284934,1.43647887053158,"C",57.7599817565624,48.5692497675311,53.1646157620467
"2734",1,2,1,3,1,72.4971073901818,0.000190264884834005,2.88645407951906,27.325607890635,1.43656983212629,"C",57.6372974336408,51.0369372474298,54.3371173405353
"2735",3,1,1,3,2,72.4971073901818,0.000190264884834005,2.88645407951906,27.325607890635,1.43656983212629,"C",57.6372974336408,51.0369372474298,54.3371173405353
"2736",1,2,1,2,1,76.4303570928148,0.000171185991526877,2.93225081202901,27.332265751198,1.43667563470972,"C",57.7581479277266,51.087969341623,54.4230586346748
"2737",3,1,1,1,3,76.4303570928148,0.000171185991526877,2.93225081202901,27.332265751198,1.43667563470972,"C",57.7581479277266,51.087969341623,54.4230586346748
"2738",1,2,1,2,2,47.9110631471169,0.000435640636665761,6.19709927660101,27.3361659673491,1.43673760255121,"C",49.8701162647475,-6.34341844720717,21.7633489087701
"2739",3,1,1,3,1,47.9110631471169,0.000435640636665761,6.19709927660101,27.3361659673491,1.43673760255121,"C",49.8701162647475,-6.34341844720717,21.7633489087701
"2740",2,1,1,2,2,72.684941891504,0.000189282779576628,2.78470447150965,27.3397207866869,1.43679407492016,"C",57.6501038973729,50.838733672514,54.2444187849435
"2741",2,1,1,3,3,76.5734865993354,0.000170546635308652,2.86939451754681,27.3463647238351,1.43689960177325,"C",57.7567111312038,51.0118689815146,54.3842900563592
"2742",4,2,1,2,1,86.1398915351942,0.000134769419852866,3.00702377809995,27.3490707213432,1.43694257427277,"C",56.731825996545,51.1203534059868,53.9260897012659
"2743",2,1,1,1,1,48.3777913419085,0.000427275435924377,6.08170554366601,27.3502567835631,1.43696140815248,"C",50.1301358884886,-2.26018267798932,23.9349766052496
"2744",1,1,1,1,3,82.1765277934216,0.000148082734625395,2.57116345829039,27.3515129707205,1.43698135467901,"C",57.3785050441709,50.0423653070403,53.7104351756056
"2745",1,1,1,3,1,65.6649604379861,0.000231917022222443,3.90151388395097,27.3597556868273,1.4371122149656,"C",56.6918695725161,46.6092271008522,51.6505483366841
"2746",4,1,1,1,2,68.8842352686608,0.000210746474043622,3.77879943509215,27.362952602039,1.43716295816456,"C",57.2536589228823,47.7632055845941,52.5084322537382
"2747",4,1,1,2,3,77.317004432513,0.000167282288505931,3.0748203683979,27.3696008269168,1.43726846347035,"C",57.7426549932474,51.0951046386272,54.4188798159373
"2748",4,1,1,2,2,90.0455980127087,0.000123331787700621,2.3160989490991,27.3780942760552,1.43740321464539,"C",55.7872117646539,48.415827247477,52.1015195060655
