"","Comment","Age","...3","Sex","Trap length (m)","Start time","Finish Time","Time (s)","(Mean Speed m/s)","(Mean Speed m/min)","Pedestrian Density (Peds/m2)","Pedestrian Density (Peds/m2) b","Pedestrian Flow (peds/m/s)","Pedestrian Flow (peds/m/min)"
"92",NA,"Adult",362,"F",4.2,36.827,39.575,2.748,1.52838427947598,91.7030567685588,2,0.158730158730159,23,30.6666666666667
"93",NA,"Adult",31,"F",4.2,31.978,36.228,4.25,0.988235294117647,59.2941176470588,6,0.476190476190476,22,29.3333333333333
"94",NA,"Adult",339,"F",4.2,28.258,31.509,3.251,1.29191018148262,77.5146108889572,4,0.317460317460317,20,26.6666666666667
"95",NA,"Adult",222,"M",4.2,8.895,11.408,2.513,1.67130919220056,100.278551532033,1,0.0793650793650794,34,45.3333333333333
"96",NA,"Adult",153,"M",4.2,59.875,62.403,2.528,1.66139240506329,99.6835443037975,2,0.158730158730159,31,41.3333333333333
"97",NA,"Adult",176,"M",4.2,37.203,40.202,2.999,1.40046682227409,84.0280093364456,3,0.238095238095238,33,44
"98",NA,"Adult",341,"F",4.2,39.86,44.11,4.25,0.988235294117647,59.2941176470588,6,0.476190476190476,20,26.6666666666667
"99",NA,"Adult",76,"M",4.2,53.612,57.113,3.501,1.19965724078835,71.9794344473008,4,0.317460317460317,30,40
"100",NA,"Adult",92,"M",4.2,46.203,48.952,2.749,1.52782830120044,91.6696980720263,2,0.158730158730159,36,48
"101",NA,"Adult",8,"M",4.2,12.926,15.676,2.75,1.52727272727273,91.6363636363636,2,0.158730158730159,17,22.6666666666667
"102",NA,"Adult",78,"M",4.2,11.513,14.513,3,1.4,84,3,0.238095238095238,30,40
"103",NA,"Adult",146,"F",4.2,46.644,50.892,4.248,0.98870056497175,59.322033898305,6,0.476190476190476,31,41.3333333333333
"104",NA,"Adult",21,"F",4.2,1.935,5.188,3.253,1.29111589302183,77.4669535813096,4,0.317460317460317,22,29.3333333333333
"105",NA,"Adult",47,"F",4.2,6.186,8.948,2.762,1.52063721940623,91.2382331643736,2,0.158730158730159,28,37.3333333333333
"106",NA,"Adult",298,"F",4.2,10.417,13.438,3.021,1.39026812313803,83.416087388282,3,0.238095238095238,21,28
"107",NA,"Adult",306,"M",4.2,25.788,29.285,3.497,1.20102945381756,72.0617672290535,4,0.317460317460317,21,28
"108",NA,"Adult",381,"F",4.2,30.637,33.638,3.001,1.39953348883706,83.9720093302233,3,0.238095238095238,19,25.3333333333333
"109",NA,"Adult",71,"M",4.2,47.625,50.878,3.253,1.29111589302183,77.4669535813096,4,0.317460317460317,30,40
"110",NA,"Adult",63,"F",4.2,13.788,17.285,3.497,1.20102945381756,72.0617672290535,4,0.317460317460317,28,37.3333333333333
"111",NA,"Adult",313,"M",4.2,27.717,30.981,3.264,1.28676470588235,77.2058823529411,4,0.317460317460317,29,38.6666666666667
"112",NA,"Adult",245,"M",4.2,37.479,40.228,2.749,1.52782830120044,91.6696980720261,2,0.158730158730159,37,49.3333333333333
"113",NA,"Adult",345,"M",4.2,21.037,23.763,2.726,1.54071900220103,92.4431401320615,2,0.158730158730159,20,26.6666666666667
"114",NA,"Adult",105,"M",4.2,37.772,41.273,3.501,1.19965724078834,71.9794344473007,4,0.317460317460317,36,48
"115",NA,"Adult",110,"M",4.2,12.02,15.27,3.25,1.29230769230769,77.5384615384615,4,0.317460317460317,36,48
"116",NA,"Adult",254,"F",4.2,47.085,50.339,3.254,1.29071911493546,77.4431468961279,4,0.317460317460317,37,49.3333333333333
"117",NA,"Adult",325,"F",4.2,7.709,11.462,3.753,1.11910471622702,67.1462829736211,5,0.396825396825397,29,38.6666666666667
"118",NA,"Adult",37,"F",4.2,28.615,32.614,3.999,1.05026256564141,63.0157539384846,5,0.396825396825397,22,29.3333333333333
"119",NA,"Adult",214,"M",4.2,53.618,56.145,2.527,1.66204986149584,99.7229916897507,2,0.158730158730159,34,45.3333333333333
"120",NA,"Adult",337,"M",4.2,19.118,21.879,2.761,1.52118797537124,91.2712785222744,2,0.158730158730159,20,26.6666666666667
"121",NA,"Adult",10,"M",4.2,19.246,21.998,2.752,1.52616279069767,91.5697674418604,2,0.158730158730159,17,22.6666666666667
"122",NA,"Adult",199,"F",4.2,60.899,64.649,3.75,1.12,67.2,5,0.396825396825397,35,46.6666666666667
"123",NA,"Adult",332,"M",4.2,38.708,41.708,3,1.4,84,3,0.238095238095238,20,26.6666666666667
"124",NA,"Adult",77,"M",4.2,56.013,59.014,3.001,1.39953348883705,83.9720093302231,3,0.238095238095238,30,40
