Walk_Speed,Sex,Walkway_width_category
75.94936709,Female,Entebbe
75.94936709,Female,Entebbe
75.92407592,Female,Entebbe
75.8988016,Female,Entebbe
75.82307948,Female,Entebbe
75.74750831,Female,Entebbe
75.37190083,Female,Entebbe
75.29722589,Female,Entebbe
74.41253264,Female,Entebbe
74.36399217,Female,Entebbe
73.2177264,Female,Entebbe
72.51908397,Female,Entebbe
70.34865782,Female,Entebbe
70.32695867,Female,Entebbe
70.28360049,Female,Entebbe
70.28360049,Female,Entebbe
70.24029575,Female,Entebbe
70.21866338,Female,Entebbe
70.19704433,Female,Entebbe
70.19704433,Female,Entebbe
70.19704433,Female,Entebbe
70.19704433,Female,Entebbe
70.19704433,Female,Entebbe
70.1754386,Female,Entebbe
70.1754386,Female,Entebbe
70.1754386,Female,Entebbe
70.15384615,Female,Entebbe
70.13226699,Female,Entebbe
70.13226699,Female,Entebbe
70.11070111,Female,Entebbe
70.11070111,Female,Entebbe
70.08914848,Female,Entebbe
70.0676091,Female,Entebbe
70.0676091,Female,Entebbe
70.0676091,Female,Entebbe
70.04608295,Female,Entebbe
70.00307031,Female,Entebbe
69.96011046,Female,Entebbe
69.85294118,Female,Entebbe
69.5970696,Female,Entebbe
69.53339433,Female,Entebbe
69.06997879,Female,Entebbe
68.77828054,Female,Entebbe
67.37588652,Female,Entebbe
66.10611772,Female,Entebbe
65.61151079,Female,Entebbe
65.36697248,Female,Entebbe
65.25472238,Female,Entebbe
65.25472238,Female,Entebbe
65.2173913,Female,Entebbe
65.18010292,Female,Entebbe
65.18010292,Female,Entebbe
65.18010292,Female,Entebbe
65.16147471,Female,Entebbe
65.16147471,Female,Entebbe
65.16147471,Female,Entebbe
65.14285714,Female,Entebbe
65.12425021,Female,Entebbe
65.10565391,Female,Entebbe
65.08706823,Female,Entebbe
64.86486486,Female,Entebbe
64.71757025,Female,Entebbe
64.60753755,Female,Entebbe
64.58923513,Female,Entebbe
64.49787836,Female,Entebbe
64.11698538,Female,Entebbe
61.90605485,Female,Entebbe
61.53846154,Female,Entebbe
60.84867894,Female,Entebbe
60.84867894,Female,Entebbe
60.81621766,Female,Entebbe
60.81621766,Female,Entebbe
60.81621766,Female,Entebbe
60.8,Female,Entebbe
60.8,Female,Entebbe
60.8,Female,Entebbe
60.78379099,Female,Entebbe
60.75139888,Female,Entebbe
59.06735751,Female,Entebbe
57.14285714,Female,Entebbe
57.01425356,Female,Entebbe
57.01425356,Female,Entebbe
57,Female,Entebbe
57,Female,Entebbe
56.97151424,Female,Entebbe
56.92883895,Female,Entebbe
56.84367988,Female,Entebbe
56.6318927,Female,Entebbe
56.61782965,Female,Entebbe
53.67231638,Female,Entebbe
53.65968463,Female,Entebbe
53.65968463,Female,Entebbe
53.64705882,Female,Entebbe
53.59661495,Female,Entebbe
53.50856606,Female,Entebbe
47.96970335,Female,Entebbe
45.68222801,Female,Entebbe
109.2100473,Male,Hoima
109.1305929,Male,Hoima
109.1305929,Male,Hoima
109.0116279,Male,Hoima
107.9913607,Male,Hoima
102.2146508,Male,Hoima
100.1335113,Male,Hoima
100.1001001,Male,Hoima
100.0667111,Male,Hoima
100.0667111,Male,Hoima
100.0333444,Male,Hoima
100,Male,Hoima
100,Male,Hoima
100,Male,Hoima
100,Male,Hoima
99.96667777,Male,Hoima
99.96667777,Male,Hoima
99.96667777,Male,Hoima
99.96667777,Male,Hoima
99.93337775,Male,Hoima
99.93337775,Male,Hoima
99.9000999,Male,Hoima
99.86684421,Male,Hoima
99.76720984,Male,Hoima
99.27200529,Male,Hoima
96.96186167,Male,Hoima
96.61835749,Male,Hoima
92.76437848,Male,Hoima
92.36453202,Male,Hoima
92.33610342,Male,Hoima
92.33610342,Male,Hoima
92.33610342,Male,Hoima
92.33610342,Male,Hoima
92.30769231,Male,Hoima
92.30769231,Male,Hoima
92.30769231,Male,Hoima
92.27929868,Male,Hoima
92.27929868,Male,Hoima
92.25092251,Male,Hoima
92.22256379,Male,Hoima
92.1942225,Male,Hoima
92.1942225,Male,Hoima
92.1942225,Male,Hoima
92.16589862,Male,Hoima
92.13759214,Male,Hoima
92.13759214,Male,Hoima
86.50519031,Male,Hoima
85.91065292,Male,Hoima
85.88605783,Male,Hoima
85.86147682,Male,Hoima
85.86147682,Male,Hoima
85.81235698,Male,Hoima
85.81235698,Male,Hoima
85.78781813,Male,Hoima
85.78781813,Male,Hoima
85.78781813,Male,Hoima
85.78781813,Male,Hoima
85.78781813,Male,Hoima
85.78781813,Male,Hoima
85.78781813,Male,Hoima
85.76329331,Male,Hoima
85.76329331,Male,Hoima
85.76329331,Male,Hoima
85.73878251,Male,Hoima
85.73878251,Male,Hoima
85.71428571,Male,Hoima
85.71428571,Male,Hoima
85.71428571,Male,Hoima
85.71428571,Male,Hoima
85.71428571,Male,Hoima
85.71428571,Male,Hoima
85.68980291,Male,Hoima
85.68980291,Male,Hoima
85.68980291,Male,Hoima
85.68980291,Male,Hoima
85.68980291,Male,Hoima
85.68980291,Male,Hoima
85.66533409,Male,Hoima
85.66533409,Male,Hoima
85.66533409,Male,Hoima
85.64087925,Male,Hoima
85.64087925,Male,Hoima
85.64087925,Male,Hoima
85.22727273,Male,Hoima
85.20306731,Male,Hoima
84.93771234,Male,Hoima
80.68854223,Male,Hoima
80.21390374,Male,Hoima
80.14961261,Male,Hoima
80.12820513,Male,Hoima
80.10680908,Male,Hoima
80.10680908,Male,Hoima
80.10680908,Male,Hoima
80.08542445,Male,Hoima
80.08542445,Male,Hoima
80.06405124,Male,Hoima
80.04268943,Male,Hoima
80.04268943,Male,Hoima
80.02133902,Male,Hoima
80.02133902,Male,Hoima
80.02133902,Male,Hoima
80,Male,Hoima
80,Male,Hoima
80,Male,Hoima
79.97867235,Male,Hoima
79.97867235,Male,Hoima
79.97867235,Male,Hoima
79.97867235,Male,Hoima
79.95735608,Male,Hoima
79.95735608,Male,Hoima
79.95735608,Male,Hoima
79.95735608,Male,Hoima
79.93605116,Male,Hoima
79.93605116,Male,Hoima
79.91475759,Male,Hoima
79.89347537,Male,Hoima
79.89347537,Male,Hoima
79.87220447,Male,Hoima
79.36507937,Male,Hoima
75.18796992,Male,Hoima
75.1503006,Male,Hoima
75.09386733,Male,Hoima
75.07507508,Male,Hoima
75.07507508,Male,Hoima
75.05629222,Male,Hoima
75.05629222,Male,Hoima
75.05629222,Male,Hoima
75.03751876,Male,Hoima
75.03751876,Male,Hoima
75.03751876,Male,Hoima
75.03751876,Male,Hoima
75.03751876,Male,Hoima
75.01875469,Male,Hoima
74.98125469,Male,Hoima
74.98125469,Male,Hoima
74.98125469,Male,Hoima
74.96251874,Male,Hoima
74.94379216,Male,Hoima
74.94379216,Male,Hoima
74.92507493,Male,Hoima
74.92507493,Male,Hoima
74.90636704,Male,Hoima
74.90636704,Male,Hoima
73.67387033,Male,Hoima
72.28915663,Male,Hoima
72.11538462,Male,Hoima
71.53075823,Male,Hoima
70.65473387,Male,Hoima
70.62146893,Male,Hoima
70.62146893,Male,Hoima
70.62146893,Male,Hoima
70.62146893,Male,Hoima
70.6048482,Male,Hoima
70.6048482,Male,Hoima
